positive,negative
望ましい,過失
望む,過充電
満たす,過重
満足,過小評価
満足させる,過少報告
満足に,過剰供給
満足のいく,過剰生産
魅力,過剰能力
魅力的な,過剰容量
夢,過大評価
無料,過大評価する
名誉,過度に
模範的,過度の
儲かる,過負荷
愉快に,過払い
優れた,解雇
優れている,解散
優れました,解体
優れる,解任
優秀,回避
有益,回避した
有益な,回避する
有益に,回復不能
有効,壊す
有効にする,壊れた
有利,壊滅的な
有利に,改ざん
頼りになる,改ざんされた
利益,改ざんする
利点,改訂
利得,改訂された
理想的な,開示された
立派な,開示する
良い,開示する、明らかにする
力,外傷
力を与える,害
例外的に,害した
励まされた,害する
励ます,害を及ぼす
綺麗な,格下げ
,格差
,割り込み
,活力
,株
,勘違い
,巻き込む
,寛容
,干ばつ
,干渉
,干渉した
,干渉する
,感受性
,歓迎しない
,監禁
,監禁する
,緩和
,間違い
,間違えた
,間違って
,間欠
,関係する
,含意
,危うい
,危うくする
,危ない
,危機
,危険
,危険な
,危険にさらす
,寄託
,揮発性
,機能しない
,機能不全
,気が散る
,気を散らす
,気晴らし
,気分を害した
,気分を害する
,規格外
,起訴
,起訴された
,起訴する
,偽
,偽って
,偽る
,偽証
,偽装
,偽造
,偽造者
,欺く
,欺くこと
,欺瞞
,犠牲
,犠牲にする
,犠牲になった
,犠牲者
,疑い
,疑いのない
,疑わしい
,疑われた
,疑われる
,疑問に思う
,却下
,却下する
,虐待
,虐待された
,虐待的な
,虐待的に
,逆に
,逆境
,休憩
,急な
,急に
,救済
,救済する
,拒絶
,拒否
,拒否された
,拒否されました
,拒否した
,拒否する
,虚偽
,虚偽の
,虚偽の表示
,許さない
,許されない
,許可されていない
,許可しない
,許容する
,供給過剰
,競争力のない
,共謀
,共謀する
,共謀者
,強制
,強制する
,強調した
,強迫
,恐れ
,矯正
,矯正した
,脅かされた
,脅かす
,脅威
,脅迫
,驚異的な
,曲がりくねった
,曲がりくねって
,禁じられた
,禁じる
,禁ずる
,禁止
,禁止された
,禁止する
,禁輸
,緊急
,緊張
,緊張した
,苦しみ
,苦しむ
,苦しんだ
,苦情
,苦情文句
,苦痛
,苦難
,空席
,偶然
,係争中
,景気後退
,警戒
,警告
,警告された
,警告する
,軽罪
,軽薄
,軽薄に
,軽蔑した
,軽蔑する
,軽蔑的な
,軽蔑的に
,軽率な
,劇的に
,激しく
,欠けていた
,欠けている
,欠陥
,欠陥のある
,欠勤
,欠席
,欠点
,欠如
,欠乏
,決定的ではない
,決定的に
,嫌い
,嫌がらせ
,嫌がる
,嫌な
,懸念
,検閲
,検察
,見失う
,見失った
,見切り
,見落とされた
,見落とす
,見劣りさせる
,賢い
,原告
,厳しい
,厳しく
,厳しさ
,減らす
,減少
,減少した
,減少する
,減速
,言い直した
,言い直す
,言い表す
,言い表せない
,言い訳
,固執した
,固執する
,故意
,故意に
,故障
,故障した
,故人
,枯渇
,枯渇させる
,枯渇した
,誇張
,誇張した
,誇張する
,誤った
,誤ったブランド
,誤ったラベル
,誤った価格
,誤った管理
,誤った情報
,誤った説明
,誤った判断
,誤って
,誤って適用された
,誤解
,誤解させる
,誤解された
,誤解されました
,誤解した
,誤解する
,誤解を招く
,誤解を招くように
,誤算
,誤算する
,誤字
,誤動作
,誤判断
,誤表示
,誤分類
,誤報
,誤用
,誤用する
,公開する
,効果がない
,効果的に
,好奇心が強い
,広範に
,抗議
,抗議した
,抗議者
,拘留
,拘留された
,拘留する
,控えめな
,控えめに
,更新しない
,荒廃
,荒廃させる
,荒廃した
,行き詰まった
,行き詰まり
,降格
,降格した
,降格する
,高価な
,高利
,合併症
,合理化
,合理化された
,合理化する
,克服する
,告白
,告白した
,告白する
,告発
,告発された
,告発する
,困った
,困難
,懇願
,懇願した
,懇願する
,根拠のない
,混ぜ物
,混乱
,混乱させる
,混乱した
,混乱して
,混乱する
,差し押さえ
,差し押さえられた
,差し止め
,差し止め命令
,差し迫った
,詐欺
,詐称
,挫折
,再デフォルト
,再割り当て
,再交渉
,再交渉する
,再構築
,再評価
,再編
,最も危険な
,最も厳しい
,最も弱い
,最も遅い
,最悪
,災害
,災難
,裁判官
,裁判前
,罪
,罪を犯す
,作り過ぎ
,削減
,削減された
,搾取
,搾取された
,搾取的
,錯乱
,残念ながら
,使えない
,姿を消す
,思い出した
,思い出す
,思わず
,支払い不足
,支払能力
,旨
,止まる
,止める
,死者
,資金のない
,資金不足
,資本不足
,事件
,事故
,持続する
,持続的
,持続不可能な
,時期尚早
,時期尚早に
,時制
,時代遅れ
,時代遅れの
,辞退
,辞任
,失う
,失意
,失格
,失業
,失業者
,失効
,失敗
,失敗した
,失敗する
,失望
,失踪
,湿った
,質問
,質問した
,実現不可能
,実行不可能
,邪魔
,邪魔する
,邪魔者
,弱い
,弱く
,弱った
,弱まる
,弱める
,弱体化
,弱点
,主張
,主張した
,主張する
,取り違えた
,取り違える
,取り壊された
,取り壊し
,取り壊す
,取り消された
,取り消す
,取り返しのつかない
,取り戻した
,取り戻す
,守った
,守る
,守備的
,受け入れられない
,受け入れる
,受容的でない
,収差
,収集されていない
,収集できない
,収集不能
,収縮
,収用
,修正された
,修正する
,終了
,終了しました
,終了する
,終焉
,十分に活用されていない
,従う
,重荷
,重罪
,重罪の
,重症度
,重大度
,重度
,重要
,熟考した
,出し抜く
,処分する
,書き下し
,傷ついた
,傷つきやすい
,傷つける
,償却
,召喚
,召喚された
,召喚状
,消えた
,消える
,消滅した
,消耗
,焦げた
,省く
,省略
,衝突
,証言
,証言する
,障害
,障害のある
,障害物
,障壁
,上場廃止
,食い違い
,信念
,信用しない
,信頼できない
,侵害
,侵害された
,侵害する
,侵食
,侵食された
,侵食する
,侵入
,侵入した
,侵入する
,心配
,心配している
,心配する
,浸食
,浸食する
,申し立て
,申し立てる
,真剣に
,真面目
,人為的に
,尋問
,衰退
,制限
,制御されていない
,制御不能
,制御不能に
,正しくない
,正当
,清める
,清算
,清算されていない
,清算する
,清算人
,生産不足
,精査
,精査する
,製造中止
,誠実に
,誓った
,請求
,脆弱に
,脆弱性
,責める
,赤字
,切り下げ
,切る
,切断された
,絶滅危惧
,絶滅危惧種
,先見の明
,先制
,宣告された
,洗濯
,前書き
,疎外
,疎外された
,疎外する
,訴え
,訴える
,訴訟
,訴訟を起こす
,訴訟者
,阻害要因
,想起
,操る
,操作
,操作された
,早すぎる
,争い
,争う
,争った
,争われた
,相反する
,相容れない
,騒動
,贈収賄
,足りない
,速度を落とす
,速報
,損なう
,損なわれた
,損害
,損失
,損傷した
,対決
,対策
,対立
,耐えられない
,耐えられる
,耐える
,怠惰
,怠慢な
,滞って
,滞納
,滞納者
,退位
,退位した
,退出させる
,逮捕
,逮捕された
,大災害
,大目に見る
,奪う
,奪われた
,脱落
,嘆願
,断る
,断続的に
,値下げ
,知らずに
,知らない
,恥ずかしい
,置き忘れた
,致命的に
,遅い
,遅くなった
,遅くなる
,遅さ
,遅らせる
,遅れ
,遅れた
,遅延
,中止
,中止する
,中傷
,中傷された
,中傷的
,中断
,中断された
,中断した
,中断する
,注意
,注意した
,貯められた
,貯金
,帳消し
,懲戒
,懲罰的
,挑戦
,挑戦した
,挑発した
,挑発する
,挑発的な
,調査
,調査した
,調査する
,調停
,超過
,長引く
,長時間
,直面した
,直面する
,沈殿した
,陳腐化
,追い出された
,追い出す
,追放
,痛い
,低下
,低下する
,低給
,停止
,停止した
,停車
,停滞
,停滞する
,停電
,訂正
,敵
,敵意
,敵対者
,敵対的
,転置する
,転覆
,転覆した
,転用
,伝えられるところによると
,吐く
,怒り狂う
,倒す
,倒産
,投獄
,投獄された
,投獄する
,盗まれた
,逃した
,逃す
,逃亡者
,動揺
,同意しない
,独占
,独占する
,独占禁止法
,独占者
,独占的
,突然
,鈍い
,鈍感
,内訳
,難しい
,日陰
,日和見的
,日和見的に
,入射
,入手できない
,認めた
,認める
,年輪
,粘り強さ
,破壊
,破壊されました
,破壊する
,破壊行為
,破壊的な
,破棄
,破棄された
,破産
,破産した
,破損
,破損した
,破滅的な
,廃棄
,廃止
,廃止された
,廃止する
,排除された
,排除する
,排尿
,敗れた
,敗北
,配送できない
,売れない
,売れ残り
,売却
,売却された
,賠償
,剥奪
,発生率
,発砲
,罰
,罰する
,罰せられる
,罰金
,抜粋
,抜本的な
,判決
,判読不能
,反競争的
,反抗
,反訴
,反訴された
,反体制派
,反対
,反対した
,反対する
,反対意見
,反対者
,反乱
,犯した
,犯す
,犯行
,犯罪
,犯罪者
,犯罪的に
,犯人
,煩わしさ
,否定する
,否認
,否認する
,悲劇
,悲劇的な
,悲劇的に
,悲惨な
,批判
,批判された
,批判する
,批判的に
,秘密
,被告
,非開示
,非競争
,非現実的な
,非互換
,非互換性
,非公演
,非効率
,非効率的
,非効率的な
,非行
,非実用的
,非準拠
,非推奨
,非生産
,非生産的
,非難
,非難された
,非難する
,非能率
,非流動性
,非流動的
,非倫理的な
,非倫理的に
,必然
,評価
,評決
,評判の悪い
,病気
,貧しい
,不安
,不安定
,不安定な
,不安定にする
,不安定化
,不意
,不一致
,不可逆
,不可抗力
,不可知
,不可能
,不可能な
,不活化
,不活性化
,不活性化する
,不活動
,不完全
,不完全な
,不完全に
,不規則
,不規則に
,不吉な
,不許可
,不況
,不均衡
,不均衡な
,不景気
,不経済
,不経済な
,不経済に
,不健全
,不公平
,不公平に
,不合格
,不採算
,不作為
,不実表示
,不十分
,不十分な
,不十分に
,不承認
,不審に
,不真実
,不親切な
,不人気
,不随意
,不正
,不正に
,不正確
,不正確に
,不正行為
,不正直
,不誠実
,不誠実な
,不誠実に
,不足
,不忠
,不注意
,不注意な
,不注意に
,不釣り合いな
,不釣り合いに
,不適
,不適格
,不適合
,不適切
,不適切に
,不適当
,不渡り
,不当
,不当な
,不当に
,不道徳な
,不能
,不備
,不必要に
,不払い
,不平
,不平等
,不便
,不法
,不法に
,不本意
,不満
,不名誉
,不名誉な
,不明
,不愉快な
,不愉快に
,不要
,不利
,不利な
,不利に
,不利益
,不履行
,不良
,不良品
,普及
,普及して
,腐って
,腐敗
,腐敗した
,負
,負け
,負けた
,負に
,負わされた
,負担
,侮辱
,侮辱する
,服従
,腹痛
,複雑な
,覆い隠す
,覆す
,覆われていない
,物議を醸す
,物足りない
,分離
,分離する
,紛争
,文句を言う
,文書化されていない
,閉じ込められた
,閉じ込める
,閉まっている
,閉まる
,閉鎖
,閉塞
,閉塞した
,偏見
,偏見のある
,偏差
,変位
,変位した
,編集中
,弁解
,弁解する
,保険不足
,補正
,報復
,報復した
,報復する
,崩壊
,崩壊した
,崩壊する
,放棄
,放棄された
,放棄する
,法外な
,妨げた
,妨げられた
,妨げる
,忘れた
,忘れる
,暴行
,暴徒
,暴動
,暴力
,暴力的な
,望ましくない
,望まない
,防ぐ
,防止
,墨消し
,没収
,没収された
,没収する
,満たされていない
,未解決
,未回収
,未完成
,未経験
,未検出
,未公開
,未実施
,未修正
,未熟
,未承認
,未然に
,未達成
,未定
,未配達
,未発表
,未払い
,未報告
,無関心
,無関心に
,無許可
,無警戒
,無効
,無効にされた
,無効にする
,無効化
,無罪
,無罪判決
,無視
,無視された
,無視する
,無資格
,無償
,無駄に
,無秩序
,無能
,無能に
,無能力
,無保険
,無謀
,無謀に
,無免許
,無理
,矛盾
,矛盾した
,矛盾する
,名誉毀損
,命令的
,明らかにする
,迷惑
,免罪
,免責
,免責事項
,面倒
,面白くない
,黙っている
,黙る
,黙認
,問い合わせ
,問題
,問題のある
,野党
,厄介な
,憂うつ
,憂鬱
,有害な
,有害に
,有罪
,有罪判決
,有罪判決を受けた
,予期せぬ
,予測できない
,予測不可能な
,予定外の
,余波
,容疑者
,容認
,容認できない
,抑止
,抑止する
,抑止力
,欲求不満
,落とした
,落胆
,落胆した
,乱す
,乱れた
,乱気流
,乱用
,乱用する
,利用できない
,利用できません
,離婚
,離婚した
,立ち向かう
,立ち退き
,略奪的
,流用
,流用する
,良心的
,力
,劣る
,劣化
,劣化した
,劣化する
,露出
,露出した
,漏らした
,漏らす
,論争
,論争の的
,論争の的に
,歪
,歪み
,歪む
,歪める
,賄賂
,惑わされた
,嘲笑
,猥褻
,騙された
